course_name,course_id,professor,course_description,session,days,time,prof_search,mean_rating,mean_workload,graph_rating,graph_workload,url
Politics and Ethics in Unstable Times,DPI 200 C,Fung,How does someone who is dedicated to public service responsibly gain and exercise power and influence in their career? How do they maintain their integrity while making the world a better place without themselves becoming swept up in the negative social and political forces that structurally generate pervasive inequities and injustices?This course will help students navigate difficult professional environments that are ethically and politically complex. It focuses on three challenging areas that,Full Term,M/W,10:30am - 11:45am,"Fung, Archon",4.148888888888889,3.19,-0.285777777777778,-0.112333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 200 C(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Integrated Law/Policy Research and Writing (spring),DPI 563Y,Fung,"This module, required for students in their fourth year of study toward joint degrees from Harvard Law School and the Harvard Kennedy School, focuses on applying the skills, styles and methods taught at the two Schools and in the third year required joint degree seminar, ""Public Problems."" Students will prepare and present a major piece of written work (the required Integrated Written Project) analyzing and proposing solutions to a substantial public problem faced by a society or an in",Full Term,F,3:00pm - 5:00pm,"Fung, Archon",4.148888888888889,3.19,-0.285777777777778,-0.112333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 563Y(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Resources, Incentives, and Choices II: Analysis of Public Policy",API 102 I,Furman,"This course builds on API-101 to develop microeconomic and macroeconomic tools of analysis for policy problems through various policy applications. The course is broadly focused on evaluating the rationale for government intervention in the economy and evaluating the efficiency, incentive, and distributional effects of government policies.",Full Term,M/W,9:00am - 10:15am,"Furman, Jason",4.54,3.38,0.105333333333333,0.0776666666666666,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 102 I(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Organizing: People, Power, Change",MLD 377M,Ganz,"""In democratic countries, knowledge of how to combine is the mother of all other forms of knowledge; on its progress depends that of all the others,"" de Tocqueville observed. Fulfilling the democratic promise of equality, accountability and inclusion requires the participation of an ""organized"" citizenry that can articulate and assert its shared interests effectively. We can practice democracy by organizing others to confront major public challenges by enabling muted voices t",Spring 1,S/F/S,Split Schedule,"Ganz, Marshall",4.4715,3.6125,0.0368333333333331,0.310166666666667,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 377M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Feature Writing,DPI 840M,Geary,"This intensive module provides a thorough grounding in the techniques of journalistic feature writing: researching, reporting, interviewing, writing — and revising. We investigate where good feature ideas come from; we explore how to conceptualize, organize, and structure those ideas through journalistic narrative; and we experiment in a collaborative workshop environment with several journalistic forms — the profile, the reported essay, the “trend” piece. Students will g",January,M/T/W/Th/F,9:00am - 3:00pm,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 840M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Op-Ed Writing,DPI 831M C,Gibbs,"This course focuses on persuasive communication; think of it as writing for people who are not paid to read you. It will give students confidence in how to frame, structure, write, and edit opinion pieces, with an emphasis on the clarity, concision, and persuasive power of their argument. The course, which is run as a series of seminars and writing workshops, will draw on the work of both seasoned op-ed writers and students. Active participation in class discussions, draft feedback, and exercise",Spring 1,T/Th,1:30pm - 2:45pm,"Gibbs, Nancy",4.58,3.045,0.145333333333333,-0.257333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 831M C(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Law, Order and Algorithms",DPI 617,Goel,"Data and algorithms are rapidly transforming law enforcement and the criminal legal system, including how police officers are deployed, how discrimination is detected, and how sentencing, probation, and parole terms are set. Modern computational and statistical methods offer the promise of greater efficiency, equity, and transparency, but their use also raises complex legal, social, and ethical questions. In this course, we examine the often subtle relationship between law, public policy, and te",Full Term,M/W,12:00pm - 1:15pm,"Goel, Sharad",4.7,2.25,0.265333333333333,-1.05233333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 617(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
The Data Smart City: Driving Innovation with Technology,MLD 620M,"Goldsmith, Stephen","The complexity of governing cities continues to escalate as more of  the world’s population will be living in urban areas by 2050. The problems of delivering basic services, while addressing climate and equity compound the challenge. Changing physical  and social conditions will require new approaches in how one delivers  and regulates public goods and services as well as in the process of  mobilizing support for new approaches.  Technology provides cross",Spring 2,T/Th,1:30pm - 2:45pm,"Goldsmith, Stephen",3.921111111111111,3.115555555555555,-0.513555555555556,-0.186777777777778,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 620M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Politics and Ethics in Unstable Times,DPI 200 F,"Gonzalez, Yanilda",How does someone who is dedicated to public service responsibly gain and exercise power and influence in their career? How do they maintain their integrity while making the world a better place without themselves becoming swept up in the negative social and political forces that structurally generate pervasive inequities and injustices?This course will help students navigate difficult professional environments that are ethically and politically complex. It focuses on three challenging areas that,Full Term,M/W,1:30pm - 2:45pm,"Gonzalez, Yanilda",4.7,3.27,0.265333333333333,-0.0323333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 200 F(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Policing, Citizenship, and Inequality in Comparative Perspective",SUP 710,"Gonzalez, Yanilda","Police provide an essential service for citizens – security and protection – without which the exercise of all other rights becomes heavily constrained. Police institutions are also the primary entity of the state with which most citizens come into direct contact. In practice, however, governments throughout the Americas (and beyond) have long struggled to organize police institutions such that they address societal demands for security, and that the deployment of coercion against ci",Full Term,T/Th,12:00pm - 1:15pm,"Gonzalez, Yanilda",4.7,3.27,0.265333333333333,-0.0323333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 710(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Politics and Ethics in Unstable Times,DPI 200 E,"Gonzalez, Yanilda",How does someone who is dedicated to public service responsibly gain and exercise power and influence in their career? How do they maintain their integrity while making the world a better place without themselves becoming swept up in the negative social and political forces that structurally generate pervasive inequities and injustices?This course will help students navigate difficult professional environments that are ethically and politically complex. It focuses on three challenging areas that,Full Term,M/W,10:30am - 11:45am,"Gonzalez, Yanilda",4.7,3.27,0.265333333333333,-0.0323333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 200 E(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Crisis Communications,DPI 896M,Haber,"This course offers students a better understanding of how to manage communications in various crisis situations as well as identify audiences, frame debates, develop messages and implement strategies.  Reputations and brands take an incredibly long time to build but can be singed, harmed or irreparably damaged in weeks, days or even less. Responding to a crisis is nothing new.  But with our increasingly fast-moving news cycles and social media echo chamber, a small crisis can",Spring 2,T/Th,12:00pm - 1:15pm,"Haber, Jon",4.66,2.7,0.225333333333333,-0.602333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 896M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Seminar: Business and Government (spring),BGP 150Y,Haigh,"This seminar is designed to support MPP-2 students writing their Policy Analysis Exercise in the areas of business and government.  The course is structured to support students as they identify the topic on which they will focus, clarify the problem they will be addressing, develop a strategy to gather information to address the problem, analyze their findings, develop recommendations, and produce the final product.  Over the fall we will focus the class sessions on gaining an understa",Full Term,Th,3:00pm - 4:15pm,"Haigh, John",4.342857142857143,3.235714285714286,-0.0918095238095233,-0.0666190476190471,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(BGP 150Y(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Corporate Citizenship and Public Policy: Can Business Advance the Public Interest?,BGP 231M,Haigh,"In this course we will explore the role of business in formulating, influencing and implementing public policy.  Many Kennedy School courses put students in the position of public sector officials when exploring public policy issues and analysis.   This course offers a different perspective – putting students in the position of institutional investors, boards of directors, and CEOs and senior officers of major global corporations whose use of public policy advances their pri",Spring 1,M/W,9:00am - 10:15am,"Haigh, John",4.342857142857143,3.235714285714286,-0.0918095238095233,-0.0666190476190471,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(BGP 231M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Writing for Policy and Politics,DPI 810M C,"Harris, Gregory","This intensive seven week course in effective writing focuses on the strategies and techniques behind great persuasive writing in both politics and policy. We explore and address every element of the writing process, paying special attention to the public, discursive world of emails, memos, articles, editorials, blogs, arguments, and narrative essays. Weekly writing assignments, along with many focused exercises, will hone skills and provide ample opportunity for feedback.",Spring 1,M/W,10:30am - 11:45am,"Harris, Gregory",4.419777777777777,3.2173333333333334,-0.0148888888888896,-0.085,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 810M C(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Writing for Policy and Politics,DPI 810M D,"Harris, Gregory","This intensive seven week course in effective writing focuses on the strategies and techniques behind great persuasive writing in both politics and policy. We explore and address every element of the writing process, paying special attention to the public, discursive world of emails, memos, articles, editorials, blogs, arguments, and narrative essays. Weekly writing assignments, along with many focused exercises, will hone skills and provide ample opportunity for feedback.",Spring 2,M/W,10:30am - 11:45am,"Harris, Gregory",4.419777777777777,3.2173333333333334,-0.0148888888888896,-0.085,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DPI 810M D(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Empirical Methods II,API 203M D,Harrison,"This course is a 6-week module that follows on API-202M, allowing students to further specialize in a particular area of evidence for policy making. First year MPP students can select among the following three options. Section A (Michela Carlana) Causal Inference and Prediction: This module will delve deeper into quantitatively evaluating the impact of programs through quasi-experimental study designs, and assessing the strengths and weaknesses of different approaches. Students will also be",Spring 2,T/Th,10:30am - 11:45am,*New*,,,,,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 203M D(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Effective Implementation: Learning from Effective Implementers,MLD 617M,Hartmann,"Producing tangible and measureable results is an important part of work in the public sector. Yet there are many more good ideas about producing results than there are good ideas implemented. This happens for many reasons, among them that no one really stayed with the idea to ""make it happen."" This course consists of a case-informed conversation about traits of persons who have been demonstrably effective at translating ideas into action. The objective of the course is to have each of",Spring 2,M/W,10:30am - 11:45am,"Hartmann, Francis",4.445,2.7783333333333338,0.0103333333333335,-0.524,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 617M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
The Tools and Methods of Economic Complexity Analysis,API 313M,Hausmann,"This advanced module will present the methods of economic complexity as they can be used for the analysis of places, firms, products, occupations, technologies, scientific research and educational areas, as well as the interactions among them and their evolution over time.  The world is incredibly complex but understanding requires simplification through tractable models that have fewer dimensions. Much of economics has relied on aggregation as a dimensionality reduction mechanism, summing",Spring 1,M/W,12:00pm - 1:15pm,"Hausmann, Ricardo",4.421481481481481,4.088148148148148,-0.0131851851851854,0.785814814814815,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(API 313M(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"Leadership from the Inside Out: The Capacity to Lead and Stay Alive–Self, Identity, and Freedom",MLD 202,Heifetz,"To lead is to live with danger. Although it may be exciting to think of leadership as inspiration, decisive action, and powerful rewards, leading requires taking risks that can jeopardize your career and your personal life. It requires putting yourself on the line, disturbing the status quo, and working with organizational and political conflicts. Those who choose to lead take risks and sometimes get neutralized or killed for doing so. In this course, we explore how self-knowledge and self-disci",January,M/T/W/Th/F/S,9:00am - 5:30pm,"Heifetz, Ronald",4.664137931034483,3.99793103448276,0.229471264367816,0.695597701149426,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(MLD 202(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
Native Americans in the 21st Century: Nation Building II,DEV 502,Henson,"This community based research course focuses on some of the major issues Native American Indian tribes and nations face in the 21st century. It provides in-depth, hands-on exposure to native development issues, including: sovereignty, economic development, constitutional reform, leadership, health and social welfare, tribal finances, land and water rights, culture and language, religious freedom, and education. In particular, the course emphasizes problem definition, client relationships, and de",Full Term,F,1:30pm - 3:30pm,"Henson, Eric",4.46,3.165,0.0253333333333332,-0.137333333333333,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(DEV 502(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
"U.S. Housing Markets, Problems and Policies",SUP 670,"Herbert, Chris","This course examines the operation of U.S. housing markets, the principal housing problems facing the nation, and policy approaches to address them within the existing political, regulatory and market context.  The course is structured around five central housing problems that are the focus of US housing policy:  the challenge of producing housing affordable for lower-income households generally; approaches to subsidizing rental housing for low- and moderate-income households and addre",Full Term,M/W,10:30am - 11:45am,"Herbert, Chris",4.635,3.2916666666666665,0.200333333333333,-0.0106666666666668,https://portal.my.harvard.edu/psp/hrvihprd/EMPLOYEE/EMPL/h/?tab=HU_CLASS_SEARCH&SearchReqJSON=%7B%22ExcludeBracketed%22%3Atrue%2C%22SaveRecent%22%3Afalse%2C%22Facets%22%3A%5B%5D%2C%22PageNumber%22%3A1%2C%22SortOrder%22%3A%5B%22SCORE%22%5D%2C%22TopN%22%3A%22%22%2C%22PageSize%22%3A%22%22%2C%22SearchText%22%3A%22(%20(%20(STRM%3A2232)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20(ACAD_ORG%3A%5C%22GOV%5C%22)%20)%20(SUP 670(STRM%3A%5C%222232%5C%22)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%20)%20)%20(ACAD_CAREER%3A%5C%22HKS%5C%22)%22%7D
